Name, Mean,Variance, Skewness, Kurtosis, Centroid X, Centroid Y, Body Height, Body Width, Area, Lid Height, Lid Width
_MG_5877,260.55,1638.9,-1.41,6.33,737.02,1738.93,610,2335,1126477,204,292
_MG_5869,302.82,3186.84,-1.96,7.08,772.95,1703.31,715,2497,1360623,255,293
_MG_5879,302.39,2103.35,-2.12,8.61,746.11,1654.87,683,2529,1442263,232,335
_MG_5871,272.45,2618.4,-1.3,4.85,616.75,1678.26,636,2499,1298560,213,311
_MG_5870,239.53,1614.41,-1.77,6.49,696.26,1993.6,541,1661,743275,189,278
_MG_5874,229.4,1756.45,-1.5,5.02,825.01,1927.76,555,1747,775510,198,276
_MG_5878,291.11,2368.88,-1.55,5.56,626.65,1670.02,657,2449,1338496,241,340
_MG_5880,250.75,1672.82,-1.85,6.14,567.98,1986.34,571,1761,831084,211,314
_MG_5872,298.96,2574.44,-2.3,7.92,774.97,1725.44,669,2396,1343619,264,296
_MG_5873,268.37,2072.71,-1.19,5.06,796.65,1920.75,617,2009,1000212,240,352
_MG_5876,283.98,2297.87,-2.22,7.38,843.48,1675.27,640,2422,1294920,220,306
_MG_5875,271.49,2702.22,-1.97,5.96,847.44,1674.75,628,2372,1219050,214,290
_MG_5794,249.98,653.18,-3.19,24.99,855,1879.77,561,1834,882738,236,415
_MG_5777,233.84,2314.31,-1.95,5.96,726.39,1958.76,533,1741,764297,183,280
_MG_5778,272.76,2005.13,-2.79,14.1,710.25,1885.01,609,1992,1021790,221,341
 _MG_5773,248.97,1867.28,-3.01,14.77,731.65,2080.82,558,1535,719387,218,341
_MG_5801,266.62,1897.06,-2.08,8.38,751.61,1779.42,599,2178,1099704,218,294
_MG_5788,239.24,1446.86,-1.39,4.82,750.63,1910.39,544,1848,848198,220,347
_MG_5780,243.81,1746.12,-1.38,5.03,693.83,1736.69,556,2397,1088373,225,312
_MG_5760,256.62,2210.76,-2.28,9.65,745.31,1796.07,591,2225,1063874,239,284
_MG_5765,245.89,1589.61,-1.68,7.21,728.59,1744.17,567,2358,1080186,248,282
_MG_5769,291.88,1925.72,-2.06,7.46,712.32,1626.58,645,2577,1413287,214,275
_MG_5776,291.21,2264.48,-2.25,8.26,732.87,1641.48,658,2502,1380156,219,294
_MG_5787,264.71,2164.17,-1.72,6.28,755.99,1705.19,624,2348,1189481,207,285
_MG_5775,248.34,1822.38,-1.37,4.91,747.64,1704.11,569,2451,1144999,200,322
_MG_5766,261.94,2538.3,-0.9,4.39,721.45,1684.34,623,2406,1195161,282,342
_MG_5762,295.38,3926.66,-1.59,4.98,787.69,1704.21,679,2428,1328296,239,275
_MG_5774,229.64,2047.56,-1.31,4.03,734.26,1982.97,534,1787,770526,221,282
_MG_5755,259.32,1195.57,-2.11,8.38,736.31,1792.53,576,2145,1046954,200,283
_MG_5797,262.09,1734.45,-2.24,9.62,789.18,1827.31,585,2097,1032563,174,270
_MG_5753,271.16,1841.21,-2.65,12.29,745.41,1793.6,607,2219,1133060,218,317
_MG_5754,261.42,2821.26,-1.32,3.96,731.87,1736.75,630,2419,1222237,211,294
_MG_5763,253.93,1634.18,-2.22,9.71,741.91,1732.06,584,2363,1120303,290,317
_MG_5791,240.42,1553.26,-1.56,5.16,762.18,1734.08,563,2367,1074839,256,299
_MG_5781,307.48,1447.96,-3.25,19.46,664.21,1725.5,671,2317,1373685,251,430
_MG_5784,316.4,2129.82,-2.15,7.39,674.25,1739.96,694,2348,1383102,243,368
_MG_5789,289.75,2173.28,-2.32,9.69,621.49,1664.95,650,2395,1328284,242,349
_MG_5744,300.08,1749.13,-2.66,10.57,694.96,1778.83,654,2147,1226846,190,375
_MG_5768,300.11,1824.67,-1.98,6.47,719.49,1717.79,658,2268,1295850,199,369
_MG_5745,320.9,1853.2,-3.52,19.6,731.71,1781.41,684,2142,1313316,208,407
_MG_5795,299.35,1512.31,-2.58,11.65,659.97,1875.62,651,1979,1126284,201,421
_MG_5799,319.75,1385.01,-3.47,19.84,658.55,1822.96,696,2098,1267166,239,427
_MG_5800,300.33,2266.18,-3.35,18.12,641.57,1682.86,660,2385,1345908,234,348
_MG_5792,312.54,1307.09,-3.84,24.84,666.51,1803.09,683,2135,1264050,241,423
_MG_5793,290.98,1386.87,-1.79,8.37,797.1,1505.25,648,2672,1475277,276,339
_MG_5767,296.96,4766.2,-0.94,2.46,836.54,1595.71,704,2681,1481093,285,338
_MG_574,289.78,1658.92,-3.13,14.46,849.32,1629.35,625,2419,1321467,260,298
_MG_5764,302.28,3056.86,-2.59,11.07,826.39,1573.13,681,2529,1457719,273,338
_MG_5746,298.84,2127.93,-2.49,9.29,729.56,1768.98,642,2345,1305490,270,305
_MG_5752,305.06,2462.56,-2.87,11.68,761.24,1998.81,668,1859,1056140,236,341
_MG_5782,308.12,1989.42,-2.94,13.01,782.94,1658.9,690,2484,1494764,210,339
_MG_5786,299.95,1716.89,-2.97,12.09,776.11,1661.82,641,2489,1386563,211,303
